FECHA_HORA,SECTOR,CAUDAL MEDIO(M3)
01/01/2024 1:00,1 CIUDAD JARDÍN,"19,1"
01/01/2024 1:00,ALIPARK DL,9
01/01/2024 1:00,ALTOZANO,"54,4"
01/01/2024 1:00,BAHÍA LOS PINOS,"38,8"
01/01/2024 1:00,BENALÚA DL,"54,4"
01/01/2024 1:00,Bº GRANADA 1,"7,15"
01/01/2024 1:00,Bº LOS ÁNGELES,"33,124"
01/01/2024 1:00,CABO HUERTAS - PLAYA,"26,7"
01/01/2024 1:00,Campoamor Alto,51
01/01/2024 1:00,CENTRO COMERCIAL GRAN VÍA,"25,95"
01/01/2024 1:00,CIUDAD DEPORTIVA DL,"25,9"
01/01/2024 1:00,COLONIA REQUENA,"153,8"
01/01/2024 1:00,COLONIA ROMANA,"37,4"
01/01/2024 1:00,CONDOMINA,"55,95"
01/01/2024 1:00,Depósito Los Ángeles,"20,3"
01/01/2024 1:00,DIPUTACIÓN DL,0
01/01/2024 1:00,GARBINET NORTE 1,"17,35"
01/01/2024 1:00,INFORMACIÓN DL,"24,8"
01/01/2024 1:00,Les Palmeretes,"45,15"
01/01/2024 1:00,LONJA,"3,35"
01/01/2024 1:00,LONJA DL,"3,35"
01/01/2024 1:00,MATADERO,"19,762"
01/01/2024 1:00,MERCADO DL,"44,628"
01/01/2024 1:00,MUCHAVISTA - P.A.U. 5,"52,3"
01/01/2024 1:00,MUELLE GRANELES DL,"4,7"
01/01/2024 1:00,MUELLE LEVANTE DL,"9,401"
01/01/2024 1:00,O.A.M.I 1,"8,25"
01/01/2024 1:00,P.A.U. 1 (norte+sur),"47,75"
01/01/2024 1:00,P.A.U. 2,"23,3"
01/01/2024 1:00,PARQUE LO MORANT,"29,265"
01/01/2024 1:00,PLAYA DE SAN JUAN 1,"74,65"
01/01/2024 1:00,Postiguet,"21,7"
01/01/2024 1:00,PZA. MONTAÑETA,"44,85"
01/01/2024 1:00,RABASA DL,"30,4"
01/01/2024 1:00,SANTO DOMINGO DL,"79,773"
01/01/2024 1:00,SH_Demo,"33,124"
01/01/2024 1:00,TOBO,"41,8"
01/01/2024 1:00,VALLONGA GLOBAL,"7,55"
01/01/2024 1:00,VALLONGA-TOLON DL,"7,55"
01/01/2024 1:00,VILLAFRANQUEZA,"27,72"
01/01/2024 1:00,VIRGEN DEL CARMEN 1000 Viv,"48,883"
01/01/2024 1:00,VIRGEN DEL REMEDIO,"78,7"
01/01/2024 2:00,1 CIUDAD JARDÍN,"20,6"
01/01/2024 2:00,ALIPARK DL,"8,35"
01/01/2024 2:00,ALTOZANO,"50,25"
01/01/2024 2:00,BAHÍA LOS PINOS,"39,5"
01/01/2024 2:00,BENALÚA DL,"50,25"
01/01/2024 2:00,Bº GRANADA 1,"5,6"
01/01/2024 2:00,Bº LOS ÁNGELES,"36,32"
01/01/2024 2:00,CABO HUERTAS - PLAYA,"29,7"
01/01/2024 2:00,Campoamor Alto,"48,65"
01/01/2024 2:00,CENTRO COMERCIAL GRAN VÍA,"24,4"
01/01/2024 2:00,CIUDAD DEPORTIVA DL,"23,1"
01/01/2024 2:00,COLONIA REQUENA,"147,9"
01/01/2024 2:00,COLONIA ROMANA,"30,9"
01/01/2024 2:00,CONDOMINA,"50,25"
01/01/2024 2:00,Depósito Los Ángeles,"18,9"
01/01/2024 2:00,DIPUTACIÓN DL,0
01/01/2024 2:00,GARBINET NORTE 1,"18,45"
01/01/2024 2:00,INFORMACIÓN DL,24
01/01/2024 2:00,Les Palmeretes,"42,8"
01/01/2024 2:00,LONJA,"3,13"
01/01/2024 2:00,LONJA DL,"3,13"
01/01/2024 2:00,MATADERO,"28,531"
01/01/2024 2:00,MERCADO DL,"41,198"
01/01/2024 2:00,MUCHAVISTA - P.A.U. 5,"54,85"
01/01/2024 2:00,MUELLE GRANELES DL,"4,7"
01/01/2024 2:00,MUELLE LEVANTE DL,"8,988"
01/01/2024 2:00,O.A.M.I 1,"6,7"
01/01/2024 2:00,P.A.U. 1 (norte+sur),"39,9"
01/01/2024 2:00,P.A.U. 2,"22,4"
01/01/2024 2:00,PARQUE LO MORANT,"27,934"
01/01/2024 2:00,PLAYA DE SAN JUAN 1,"73,5"
01/01/2024 2:00,Postiguet,"18,55"
01/01/2024 2:00,PZA. MONTAÑETA,"42,6"
01/01/2024 2:00,RABASA DL,"30,6"
01/01/2024 2:00,SANTO DOMINGO DL,"69,049"
01/01/2024 2:00,SH_Demo,"36,32"
01/01/2024 2:00,TOBO,"41,15"
01/01/2024 2:00,VALLONGA GLOBAL,"7,7"
01/01/2024 2:00,VALLONGA-TOLON DL,"7,7"
01/01/2024 2:00,VILLAFRANQUEZA,"31,289"
01/01/2024 2:00,VIRGEN DEL CARMEN 1000 Viv,"46,655"
01/01/2024 2:00,VIRGEN DEL REMEDIO,"75,65"
01/01/2024 3:00,1 CIUDAD JARDÍN,"24,35"
01/01/2024 3:00,ALIPARK DL,"7,55"
01/01/2024 3:00,ALTOZANO,"44,55"
01/01/2024 3:00,BAHÍA LOS PINOS,"36,1"
01/01/2024 3:00,BENALÚA DL,"44,55"
01/01/2024 3:00,Bº GRANADA 1,"4,2"
01/01/2024 3:00,Bº LOS ÁNGELES,"29,443"
01/01/2024 3:00,CABO HUERTAS - PLAYA,"24,1"
01/01/2024 3:00,Campoamor Alto,"42,8"
01/01/2024 3:00,CENTRO COMERCIAL GRAN VÍA,"18,15"
01/01/2024 3:00,CIUDAD DEPORTIVA DL,20
01/01/2024 3:00,COLONIA REQUENA,139
01/01/2024 3:00,COLONIA ROMANA,29
01/01/2024 3:00,CONDOMINA,"45,25"
01/01/2024 3:00,Depósito Los Ángeles,"16,8"
01/01/2024 3:00,DIPUTACIÓN DL,0
01/01/2024 3:00,GARBINET NORTE 1,"14,4"
01/01/2024 3:00,INFORMACIÓN DL,"21,1"
01/01/2024 3:00,Les Palmeretes,"36,75"
01/01/2024 3:00,LONJA,"3,06"
01/01/2024 3:00,LONJA DL,"3,06"
01/01/2024 3:00,MATADERO,"21,053"
01/01/2024 3:00,MERCADO DL,"38,089"
01/01/2024 3:00,MUCHAVISTA - P.A.U. 5,"44,35"
01/01/2024 3:00,MUELLE GRANELES DL,"4,9"
01/01/2024 3:00,MUELLE LEVANTE DL,"10,58"
01/01/2024 3:00,O.A.M.I 1,5
01/01/2024 3:00,P.A.U. 1 (norte+sur),"29,35"
01/01/2024 3:00,P.A.U. 2,"16,8"
01/01/2024 3:00,PARQUE LO MORANT,"23,701"
01/01/2024 3:00,PLAYA DE SAN JUAN 1,"64,5"
01/01/2024 3:00,Postiguet,"21,05"
01/01/2024 3:00,PZA. MONTAÑETA,"36,25"
01/01/2024 3:00,RABASA DL,"29,9"
01/01/2024 3:00,SANTO DOMINGO DL,"58,396"
