sector,hora,timestamp,zona,tramo,consumo_base_m3,consumo_proyectado_m3,multiplicador_llm,confianza_llm,variacion_pct,alerta,p85_historico,p15_historico,factores_activos
1 CIUDAD JARDÍN,0,2026-04-28 00:00:00,ZONA_NORTE,noche,33.851,33.744,0.9969,0.85,-0.31,🟢 NORMAL,22.618,13.729,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_noche': 0.95, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
1 CIUDAD JARDÍN,1,2026-04-28 01:00:00,ZONA_NORTE,noche,25.864,25.782,0.9969,0.85,-0.31,🟢 NORMAL,33.475,17.2,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_noche': 0.95, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
1 CIUDAD JARDÍN,2,2026-04-28 02:00:00,ZONA_NORTE,noche,25.183,25.103,0.9969,0.85,-0.31,🟢 NORMAL,32.81,16.45,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_noche': 0.95, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
1 CIUDAD JARDÍN,3,2026-04-28 03:00:00,ZONA_NORTE,noche,25.183,25.103,0.9969,0.85,-0.31,🟢 NORMAL,32.02,15.6,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_noche': 0.95, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
1 CIUDAD JARDÍN,4,2026-04-28 04:00:00,ZONA_NORTE,noche,27.022,26.936,0.9969,0.85,-0.31,🟢 NORMAL,22.65,14.5,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_noche': 0.95, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
1 CIUDAD JARDÍN,5,2026-04-28 05:00:00,ZONA_NORTE,noche,27.216,27.13,0.9969,0.85,-0.31,🟢 NORMAL,21.2,13.035,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_noche': 0.95, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
1 CIUDAD JARDÍN,6,2026-04-28 06:00:00,ZONA_NORTE,manana,23.766,23.766,1.0,0.85,0.0,🟢 NORMAL,20.81,13.398,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_manana': 1.0, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
1 CIUDAD JARDÍN,7,2026-04-28 07:00:00,ZONA_NORTE,manana,18.781,18.781,1.0,0.85,0.0,🟢 NORMAL,30.935,16.455,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_manana': 1.0, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
1 CIUDAD JARDÍN,8,2026-04-28 08:00:00,ZONA_NORTE,manana,14.898,14.898,1.0,0.85,0.0,🟢 NORMAL,34.52,17.36,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_manana': 1.0, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
1 CIUDAD JARDÍN,9,2026-04-28 09:00:00,ZONA_NORTE,manana,89.573,89.573,1.0,0.85,0.0,🟢 NORMAL,46.45,20.85,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_manana': 1.0, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
1 CIUDAD JARDÍN,10,2026-04-28 10:00:00,ZONA_NORTE,manana,0.1,0.1,1.0,0.85,0.0,🟢 NORMAL,46.11,23.0,"{'factor_eventos': 1.0, 'factor_fin_de_semana': 1.0, 'factor_franja_manana': 1.0, 'factor_global': 1.0, 'factor_movilidad_ciudad': 1.0, 'factor_obras_construccion': 1.0, 'factor_zona_norte': 1.0}"
